,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,little brunch boy,@prairiequeer,2019-07-03T03:35:59.000Z,"little brunch boy
@prairiequeer
·
Jul 2, 2019","so i’m a giant weenie and don’t do scary but i really want to see midsommar? so who wants to go with me and hold me through the whole thing. and also for the next two days.
1
1
6",🍳,1,1,6,[],https://twitter.com/prairiequeer/status/1146261276584288261
1,I Can't Unsee Movie,@CantUnseeMovie,2019-07-04T13:35:31.000Z,"I Can't Unsee Movie
@CantUnseeMovie
·
Jul 4, 2019","Replying to 
@STEEEZUSCHRIST
Midsommar 2: Solstice Boogaloo
4",,,,4,[],https://twitter.com/CantUnseeMovie/status/1146774543991803904
2,K CGπλ R-LY,@kcgnarly,2019-07-04T03:33:43.000Z,"K CGπλ R-LY
@kcgnarly
·
Jul 3, 2019","Man Midsommar was great. But not as great as my girlfriend who I would like to remind I have been perfectly nice to should she ever be in a weird predicament
1",,,,1,[],https://twitter.com/kcgnarly/status/1146623095870054400
3,JKrown,@JKrown_,2019-07-05T23:43:33.000Z,"JKrown
@JKrown_
·
Jul 5, 2019",“Midsommar” was pretty different.,,,,,[],https://twitter.com/JKrown_/status/1147289946203525121
4,I Can't Unsee Movie,@CantUnseeMovie,2019-07-09T12:32:45.000Z,"I Can't Unsee Movie
@CantUnseeMovie
·
Jul 9, 2019","Replying to 
@tnyfrontrow
“In this sense, the subject of “Midsommar” is the absurdity and obtuseness of suspending moral judgment for other cultures in the name of curiosity, respect, or relativism.” Bingo. Aster requires his protagonists to be stupid, immoral, or both - and not for interesting reasons.
1
5",,1,,5,[],https://twitter.com/CantUnseeMovie/status/1148570684379029504
5,The Great Cambino,@MrCamerinos,2019-07-10T20:34:46.000Z,"The Great Cambino
@MrCamerinos
·
Jul 10, 2019","Replying to 
@MrCamerinos
 and 
@Jarod3000
1) It wasn’t a horror film like ex: James Wan & the insidious franchise where he uses precise “pop up” scare tactics & just scary ass demons/dolls/nuns that would typically creep the average viewer out to begin with. Midsommar played on real life cultural practices
1",🖋,1,,,[],https://twitter.com/MrCamerinos/status/1149054375945527297
6,I Can't Unsee Movie,@CantUnseeMovie,2019-07-20T14:29:34.000Z,"I Can't Unsee Movie
@CantUnseeMovie
·
Jul 20, 2019","On Ep 21 of THE BAD & THE BEAUTIFUL podcast, Charles Elmore & I go to the pride lands for Disney's #TheLionKing remake, and then talk art house horror with Ari Aster's latest, #Midsommar. 
@918_Charles
 @MidsommarMovie
icantunseethatmovie.com
THE BAD AND THE BEAUTIFUL Podcast: Episode 21 – THE LION KING and MIDSOMMAR (PODCAST)
Episode 21 - ""The Bad and the Beautiful: Conversations on Cinema"" podcast. Charles & Jeff talk LION KING and MIDSOMMAR.
1
1",,,1,1,['https://pbs.twimg.com/card_img/1522608794106269698/ZgkJifD7?format=jpg&name=small'],https://twitter.com/CantUnseeMovie/status/1152586351528861696
7,Kat,@Elecctrokat,2019-07-27T04:20:08.000Z,"Kat
@Elecctrokat
·
Jul 26, 2019","Midsommar is just about the most daunting movie I have ever seen.
1
2",,1,,2,[],https://twitter.com/Elecctrokat/status/1154969696749441025
8,I Can't Unsee Movie,@CantUnseeMovie,2019-07-27T15:23:25.000Z,"I Can't Unsee Movie
@CantUnseeMovie
·
Jul 27, 2019","Replying to 
@filmspotting
 and 
@LarsenOnFilm
Indeed. We word-police so many things today that it can become reflexive, but this doesn’t need to be one of them. We can “tomayto/tomahto” Midsommar without having to call the whole thing off. ",😊,,,,[],https://twitter.com/CantUnseeMovie/status/1155136618673692672
9,rip in peace,@felondegenneres,2019-07-28T04:13:19.000Z,"rip in peace
@felondegenneres
·
Jul 27, 2019","midsommar ... That's the fuckin tweet
1
3",,1,,3,[],https://twitter.com/felondegenneres/status/1155330369207644161
